id,bucket,is_root,spam,text,parent_text
3,experiment,True,0,This is the first one that looked like it was hiding from the world at large.,
4,experiment,True,0,"Don't piss me off, junior. Or I will repaint this office with your brains.",
5,experiment,True,0,The first and most important rule of gunrunning is never get shot with your own merchandise.,
6,experiment,True,0,"Actually, my friend will pronounce you dead shortly and I thought I might keep him company.",
7,experiment,True,0,You don't have to tell me your secret if you don't want to.,
8,experiment,True,0,"Can you think of anything else, Barbara, they might have told me about that party?",
11,experiment,False,1,"Can you think of anything, Barbara, that they","Can you think of anything else, Barbara, they might have told me about that party?"
12,experiment,False,0,"Actually, my friend will pronounce you dead","Actually, my friend will pronounce you dead shortly and I thought I might keep him company."
13,experiment,False,0,"Don't piss me off junior, or I will repaint","Don't piss me off, junior. Or I will repaint this office with your brains."
15,experiment,False,0,This is the first time I looked at hiding from the world at large.,This is the first one that looked like it was hiding from the world at large.
17,experiment,False,1,The first and most important rule of gunrunning is to,The first and most important rule of gunrunning is never get shot with your own merchandise.
18,experiment,False,0,You don't have to tell me your secret if you don't want to,You don't have to tell me your secret if you don't want to.
19,experiment,False,0,Can you think of anything,"Can you think of anything, Barbara, that they"
20,experiment,False,0,You don't have to tell me your secret if you don't want to,You don't have to tell me your secret if you don't want to
21,experiment,False,0,Don't piss me off junior or I will repaint your house,"Don't piss me off, junior. Or I will repaint this office with your brains."
23,experiment,False,0,This is the first look of the boy from the stage,This is the first one that looked like it was hiding from the world at large.
24,experiment,False,0,The first and most important rule of gunrunning is not to get caught,The first and most important rule of gunrunning is never get shot with your own merchandise.
26,experiment,False,0,"Actually, my friend will pronounce you dead shortly.","Actually, my friend will pronounce you dead shortly and I thought I might keep him company."
27,experiment,False,0,you do not   have to tell me your secret,You don't have to tell me your secret if you don't want to.
28,experiment,False,1,the first and most important rule of,The first and most important rule of gunrunning is not to get caught
29,experiment,False,0,this is the first look of the boy,This is the first look of the boy from the stage
30,experiment,False,1,did not have chance to read it,"Actually, my friend will pronounce you dead"
31,experiment,False,0,do not piss me off junior or i will repaint your house,Don't piss me off junior or I will repaint your house
33,experiment,False,0,ca you think of anything else Barbara they might have told,"Can you think of anything else, Barbara, they might have told me about that party?"
35,experiment,False,1,don't piss me off etc,"Don't piss me off junior, or I will repaint"
36,experiment,False,1,did not have a chance to read,did not have chance to read it
37,experiment,False,0,this is the first look up key,this is the first look of the boy
39,experiment,False,1,ca you find then nothing,ca you think of anything else Barbara they might have told
41,experiment,False,1,it was much too fast,don't piss me off etc
42,experiment,False,0,You don't have to tell me the secret,You don't have to tell me your secret if you don't want to
43,experiment,False,1,it was much too fast to read,this is the first look up key
44,experiment,False,0,you do not have to read,you do not   have to tell me your secret
45,experiment,False,0,the first and most important,the first and most important rule of
46,experiment,False,0,"actually, my friend will pronounce","Actually, my friend will pronounce you dead shortly."
47,experiment,False,0,can you think of something,Can you think of anything
48,experiment,False,0,this and the most important rule,The first and most important rule of gunrunning is to
51,experiment,False,0,Can you find the following,ca you find then nothing
52,experiment,False,0,You do not have to read,you do not have to read
